,hidden,batch_size,reg,lr,train_cost,train_acc_total,dev_cost,dev_acc_total,test_acc_total,err,train_acc_0,dev_acc_0,test_acc_0,train_acc_1,dev_acc_1,test_acc_1,train_acc_2,dev_acc_2,test_acc_2
0,10,100,0.0001,0.4,1.4827168825240513,0.4598511555033294,1.4656771637746273,0.500587544065805,0.46298472385428907,2,0.15602836879432624,0.15602836879432624,0.1702127659574468,0.16374269005847952,0.23558897243107768,0.15538847117794485,0.977491961414791,0.9967845659163987,0.9903536977491961
1,100,100,0.0001,0.4,1.3772155879489776,0.7183705444575009,2.7920848007149646,0.5240893066980024,0.5264394829612221,0,0.8534278959810875,0.44680851063829785,0.4397163120567376,0.4519632414369256,0.19047619047619047,0.22305764411027568,0.9989281886387996,0.9871382636655949,0.954983922829582
2,300,100,0.0001,0.4,1.866607979590446,0.7481394437916177,4.111186713607974,0.5475910693301997,0.5146886016451234,0,0.9314420803782506,0.49645390070921985,0.5106382978723404,0.48955722639933164,0.23057644110275688,0.17293233082706766,0.9967845659163987,0.977491961414791,0.954983922829582
3,10,100,0.0005,0.4,1.6208903430488069,0.4375244810027419,1.5638188324474669,0.45593419506462984,0.4383078730904818,2,0.0,0.0,0.0,0.16374269005847952,0.19298245614035087,0.16040100250626566,0.9871382636655949,1.0,0.9935691318327974
4,100,100,0.0005,0.4,2.6866795257282856,0.4927536231884058,2.798798942771256,0.4371327849588719,0.43595769682726204,2,0.5271867612293144,0.2765957446808511,0.3120567375886525,0.08521303258145363,0.05513784461152882,0.042606516290726815,1.0,1.0,0.9967845659163987
5,300,100,0.0005,0.4,4.294611415832061,0.518213866039953,4.399430827114696,0.45475910693301996,0.4535840188014101,2,0.6359338061465721,0.3617021276595745,0.41134751773049644,0.10192147034252297,0.06265664160401002,0.047619047619047616,0.9989281886387996,1.0,0.9935691318327974
6,10,100,0.0,0.6,1.4056511701993613,0.4825695260477869,1.367668736371287,0.5111633372502937,0.47473560517038776,2,0.13002364066193853,0.14184397163120568,0.14893617021276595,0.21553884711779447,0.2681704260651629,0.19799498746867167,0.984994640943194,0.9903536977491961,0.977491961414791
7,100,100,0.0,0.6,1.7933680207236695,0.7446141793967881,3.3569749813590644,0.5605170387779084,0.5193889541715628,2,0.83451536643026,0.574468085106383,0.4397163120567376,0.5154553049289892,0.2531328320802005,0.23057644110275688,0.9978563772775991,0.9485530546623794,0.9260450160771704
8,300,100,0.0,0.6,0.0884968887850416,0.9937328632980806,3.6557906638795887,0.6439482961222092,0.6745005875440658,2,1.0,0.3333333333333333,0.4326241134751773,1.0,0.6290726817042607,0.7268170426065163,0.9828510182207931,0.8038585209003215,0.7170418006430869
9,10,100,0.0001,0.6,1.437579222370475,0.5515080297688993,1.7179095171369398,0.48296122209165687,0.4512338425381904,2,0.5130023640661938,0.3191489361702128,0.2198581560283688,0.21888053467000834,0.14285714285714285,0.11528822055137844,0.9957127545551983,0.9935691318327974,0.9871382636655949
10,100,100,0.0001,0.6,3.260830802537373,0.563650607128868,3.583497190284278,0.4794359576968273,0.4606345475910693,2,0.5910165484633569,0.36879432624113473,0.28368794326241137,0.21553884711779447,0.13283208020050125,0.12280701754385964,0.9978563772775991,0.9742765273311897,0.9742765273311897
11,300,100,0.0001,0.6,17.899028506168555,0.3991382687034861,17.397276401339674,0.3889541715628672,0.372502937720329,0,0.18203309692671396,0.11347517730496454,0.0425531914893617,0.007518796992481203,0.010025062656641603,0.0,1.0,1.0,1.0
12,10,100,0.0005,0.6,1.573455505218301,0.409322365844105,1.5138638070968415,0.4300822561692127,0.4406580493537015,2,0.0,0.0,0.0,0.09774436090225563,0.13784461152882205,0.16541353383458646,0.9946409431939979,1.0,0.9935691318327974
13,100,100,0.0005,0.6,2.4971134028845703,0.47473560517038776,2.563297367630443,0.4336075205640423,0.42538190364277323,2,0.47044917257683216,0.2978723404255319,0.2695035460992908,0.06766917293233082,0.040100250626566414,0.03508771929824561,0.9989281886387996,1.0,0.9967845659163987
14,300,100,0.0005,0.6,2.198188246738002,0.46141793967880923,2.099960412927186,0.4218566392479436,0.40305522914218567,2,0.3900709219858156,0.1773049645390071,0.1276595744680851,0.06766917293233082,0.05764411027568922,0.03759398496240601,0.9989281886387996,1.0,0.9967845659163987
15,10,100,0.01,0.6,1.6285653476917443,0.3654524089306698,1.62882435165617,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
16,100,100,0.01,0.6,1.7117157524432087,0.3654524089306698,1.713004802297805,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
17,300,100,0.01,0.6,1.929382780881444,0.3654524089306698,1.9331994512333852,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
18,10,100,0.0,0.8,1.5897300204830012,0.4426165295730513,1.5055145592463048,0.4770857814336075,0.44418331374853115,2,0.04491725768321513,0.05673758865248227,0.028368794326241134,0.1595655806182122,0.22055137844611528,0.16290726817042606,0.9860664523043944,0.9967845659163987,0.9935691318327974
19,100,100,0.0,0.8,1.8906447230255243,0.7034860947904427,3.0762000276197887,0.5440658049353702,0.5088131609870741,2,0.8699763593380615,0.5673758865248227,0.475177304964539,0.4177109440267335,0.21303258145363407,0.18045112781954886,0.9946409431939979,0.9581993569131833,0.9453376205787781
20,300,100,0.0,0.8,0.24846355143159962,0.9475127301214258,3.3071310409330885,0.6427732079905993,0.6509988249118684,2,0.7163120567375887,0.20567375886524822,0.20567375886524822,1.0,0.6942355889724311,0.731829573934837,0.984994640943194,0.77491961414791,0.7491961414790996
21,10,100,0.0001,0.8,1.7120857326945138,0.4132393262828045,1.6500739407022422,0.43243243243243246,0.4101057579318449,2,0.0,0.0,0.0,0.10776942355889724,0.14285714285714285,0.10025062656641603,0.992497320471597,1.0,0.9935691318327974
22,100,100,0.0001,0.8,2.1602366352552043,0.6329808068938504,3.2195244821920217,0.5088131609870741,0.4794359576968273,2,0.8652482269503546,0.45390070921985815,0.45390070921985815,0.264828738512949,0.15037593984962405,0.10275689223057644,1.0,0.9935691318327974,0.9742765273311897
23,300,100,0.0001,0.8,5.537422127825502,0.5127301214257736,5.9200862660114595,0.46415981198589895,0.45240893066980026,0,0.7919621749408984,0.5815602836879432,0.5319148936170213,0.034252297410192145,0.005012531328320802,0.002506265664160401,1.0,1.0,0.9935691318327974
24,10,100,0.0005,0.8,1.763482706013158,0.41872307089698396,1.69481834507967,0.4383078730904818,0.42773207990599293,2,0.0,0.0,0.0,0.11946532999164577,0.15538847117794485,0.13784461152882205,0.992497320471597,1.0,0.9935691318327974
25,100,100,0.0005,0.8,2.3200859268418106,0.39600470035252644,2.1150892975479687,0.4112808460634548,0.40305522914218567,0,0.0,0.0,0.0,0.06850459482038429,0.09774436090225563,0.08270676691729323,0.9957127545551983,1.0,0.9967845659163987
26,300,100,0.0005,0.8,2.1240322853519795,0.39052095573834705,1.903966719906958,0.40775558166862513,0.391304347826087,2,0.0,0.0,0.0,0.05680868838763575,0.09022556390977443,0.05764411027568922,0.9957127545551983,1.0,0.9967845659163987
27,10,100,0.01,0.8,1.8283055342024919,0.3654524089306698,1.8288393645869359,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
28,100,100,0.01,0.8,2.4347846628448884,0.3654524089306698,2.4412371371011883,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
